lat,lon,type,title,link
54.4350407,18.5786422,sport,S-4 s.c. PPH. Sklep sportowy,https://www.google.com/maps/place/S-4+s.c.+PPH.+Sklep+sportowy/data=!4m7!3m6!1s0x46fd0aebc44889a5:0x149e0eb8fe58b1f6!8m2!3d54.4350407!4d18.5786422!16s%2Fg%2F1hc1s15mr!19sChIJpYlIxOsK_UYR9rFY_rgOnhQ?authuser=0&hl=en&rclk=1
54.4525594,18.5637055,sport,Workout and football place,https://www.google.com/maps/place/Workout+and+football+place/data=!4m7!3m6!1s0x46fd0bd6954aa5a3:0xb628f36e5456efe9!8m2!3d54.4525594!4d18.5637055!16s%2Fg%2F11jp0yjqnk!19sChIJo6VKldYL_UYR6e9WVG7zKLY?authuser=0&hl=en&rclk=1
54.443983,18.5585098,sport,TROPIKER.PL,https://www.google.com/maps/place/TROPIKER.PL/data=!4m7!3m6!1s0x46fd0b5de8d3c355:0xa89610745f6a7d77!8m2!3d54.443983!4d18.5585098!16s%2Fg%2F11s2r_sj2g!19sChIJVcPT6F0L_UYRd31qX3QQlqg?authuser=0&hl=en&rclk=1
54.445816,18.568683,sport,HELLY HANSEN SOPOT,https://www.google.com/maps/place/HELLY+HANSEN+SOPOT/data=!4m7!3m6!1s0x46fd0a8e6feb4149:0xd7fcacea9de2290c!8m2!3d54.445816!4d18.568683!16s%2Fg%2F1thhj5y9!19sChIJSUHrb44K_UYRDCnineqs_Nc?authuser=0&hl=en&rclk=1
54.4208004,18.3800767,sport,sportpoland.com sp. z o.o.,https://www.google.com/maps/place/sportpoland.com+sp.+z+o.o./data=!4m7!3m6!1s0x46fd98b4eeb871c7:0xa1486df5d12f9ff7!8m2!3d54.4208004!4d18.3800767!16s%2Fg%2F11bbrgbjxp!19sChIJx3G47rSY_UYR958v0fVtSKE?authuser=0&hl=en&rclk=1
54.4358566,18.4180974,sport,Judo Chwaszczyno,https://www.google.com/maps/place/Judo+Chwaszczyno/data=!4m7!3m6!1s0x46fda1fae4c80bd3:0xe0f9de46e47ccccb!8m2!3d54.4358566!4d18.4180974!16s%2Fg%2F11h4kxgd0k!19sChIJ0wvI5Pqh_UYRy8x85Ebe-eA?authuser=0&hl=en&rclk=1
54.3522802,18.5249971,sport,Citysport,https://www.google.com/maps/place/Citysport/data=!4m7!3m6!1s0x46fd75b909ae8ff3:0xdce4d59eea9afe24!8m2!3d54.3522802!4d18.5249971!16s%2Fg%2F11c5zlky7g!19sChIJ84-uCbl1_UYRJP6a6p7V5Nw?authuser=0&hl=en&rclk=1
51.9537505,19.1343786,sport,Equine Sports,https://www.google.com/maps/place/Equine+Sports/data=!4m7!3m6!1s0x46fda026d33d9a0b:0xc4f520a78dc4d5db!8m2!3d51.9537505!4d19.1343786!16s%2Fg%2F11g7nx4r62!19sChIJC5o90yag_UYR29XEjacg9cQ?authuser=0&hl=en&rclk=1
54.41974,18.459983,sport,Sportzone Michał Orłowski,https://www.google.com/maps/place/Sportzone+Micha%C5%82+Or%C5%82owski/data=!4m7!3m6!1s0x46fd9f83bd727975:0xab606a41f25ad0d1!8m2!3d54.41974!4d18.459983!16s%2Fg%2F11gfk00vrf!19sChIJdXlyvYOf_UYR0dBa8kFqYKs?authuser=0&hl=en&rclk=1
54.4073749,18.5880856,sport,"Exclusive Sport. Hurtownia. Puchary, trofea sportowe, stroje sportowe","https://www.google.com/maps/place/Exclusive+Sport.+Hurtownia.+Puchary,+trofea+sportowe,+stroje+sportowe/data=!4m7!3m6!1s0x46fd0b2aabee8a31:0xdcccc9fab204121a!8m2!3d54.4073749!4d18.5880856!16s%2Fg%2F1jmch9pf5!19sChIJMYruqyoL_UYRGhIEsvrJzNw?authuser=0&hl=en&rclk=1"
